已排时间地点,调课结果
4-11周 星期一 6-7节 文萃楼F503,
4-5周 星期六 7-10节 文萃楼B130,
4-7周 星期日 2-5节 文萃楼B130,
"1-16周 星期一 6-7节 文萃楼I703,1-16周 星期三 1-2节 文萃楼I703",
"1-16周 星期二 3-5节 文萃楼M124,1-16周 星期五 8-10节 文萃楼M124",
"1-16周 星期二 6-7节 文萃楼M221,1-16周 星期五 6-7节 文萃楼M221","调课:12周 星期5 6-7节 刘刘/6120104838,周萧明/6120104372,马沁巍/6120104577 文萃楼M221 调至:12周 星期5 6-7节 周萧明/6120104372,刘刘/6120104838,马沁巍/6120104577"
"1-16周 星期二 6-7节 文萃楼I702,1-16周 星期四 6-7节 文萃楼I702",
"1-16周 星期二 6-7节 文萃楼I305,1-16周 星期四 6-7节 文萃楼I305",
"1-16周 星期三 1-2节 文萃楼I403,1-16周 星期五 6-7节 文萃楼I403",
"1-16周 星期三 8-9节 文萃楼G227,1-16周 星期五 8-9节 文萃楼G227",
"1-16周 星期二 1-2节 文萃楼F504,1-16周 星期五 3-4节 文萃楼F504",
"1-16周 星期二 1-2节 文萃楼F502,1-16周 星期三 6-7节 文萃楼F504",
"1-16周 星期二 3-4节 文萃楼F201,1-16周 星期五 3-4节 文萃楼F201","调课:6周 星期5 3-4节 王九令/6120210287 文萃楼F201 调至:14周 星期3 8-9节 王九令/6120210287 文萃楼F303,调课:6周 星期2 3-4节 王九令/6120210287 文萃楼F201 调至:13周 星期3 8-9节 王九令/6120210287 文萃楼F303,调课:4周 星期5 3-4节 王九令/6120210287 文萃楼F201 调至:4周 星期5 3-4节 王九令/6120210287 理教楼207"
"1-16周 星期三 6-7节 文萃楼I202,1-16周 星期五 8-10节 文萃楼I202",补课:7周 星期2 3-5节  文萃楼I504
"1-16周 星期二 6-7节 文萃楼I204,1-16周 星期四 8-10节 文萃楼I204","调课:5周 星期4 8-10节 水小平/6120101192 文萃楼I204 调至:5周 星期4 8-10节 刘海燕/6120101197 文萃楼I204,调课:5周 星期2 6-7节 水小平/6120101192 文萃楼I204 调至:5周 星期2 6-7节 刘海燕/6120101197 文萃楼I204"
