id,week,day_of_week,start_time,end_time,classroom,is_rescheduled
1,4,1,6,7,F503,0
2,5,1,6,7,F503,0
3,6,1,6,7,F503,0
4,7,1,6,7,F503,0
5,8,1,6,7,F503,0
6,9,1,6,7,F503,0
7,10,1,6,7,F503,0
8,11,1,6,7,F503,0
9,4,6,7,10,B130,0
10,5,6,7,10,B130,0
11,4,7,2,5,B130,0
12,5,7,2,5,B130,0
13,6,7,2,5,B130,0
14,7,7,2,5,B130,0
15,1,1,6,7,I703,0
16,2,1,6,7,I703,0
17,3,1,6,7,I703,0
18,4,1,6,7,I703,0
19,5,1,6,7,I703,0
20,6,1,6,7,I703,0
21,7,1,6,7,I703,0
22,8,1,6,7,I703,0
23,9,1,6,7,I703,0
24,10,1,6,7,I703,0
25,11,1,6,7,I703,0
26,12,1,6,7,I703,0
27,13,1,6,7,I703,0
28,14,1,6,7,I703,0
29,15,1,6,7,I703,0
30,16,1,6,7,I703,0
31,1,3,1,2,I703,0
32,2,3,1,2,I703,0
33,3,3,1,2,I703,0
34,4,3,1,2,I703,0
35,5,3,1,2,I703,0
36,6,3,1,2,I703,0
37,7,3,1,2,I703,0
38,8,3,1,2,I703,0
39,9,3,1,2,I703,0
40,10,3,1,2,I703,0
41,11,3,1,2,I703,0
42,12,3,1,2,I703,0
43,13,3,1,2,I703,0
44,14,3,1,2,I703,0
45,15,3,1,2,I703,0
46,16,3,1,2,I703,0
47,1,2,3,5,M124,0
48,2,2,3,5,M124,0
49,3,2,3,5,M124,0
50,4,2,3,5,M124,0
51,5,2,3,5,M124,0
52,6,2,3,5,M124,0
53,7,2,3,5,M124,0
54,8,2,3,5,M124,0
55,9,2,3,5,M124,0
56,10,2,3,5,M124,0
57,11,2,3,5,M124,0
58,12,2,3,5,M124,0
59,13,2,3,5,M124,0
60,14,2,3,5,M124,0
61,15,2,3,5,M124,0
62,16,2,3,5,M124,0
63,1,5,8,10,M124,0
64,2,5,8,10,M124,0
65,3,5,8,10,M124,0
66,4,5,8,10,M124,0
67,5,5,8,10,M124,0
68,6,5,8,10,M124,0
69,7,5,8,10,M124,0
70,8,5,8,10,M124,0
71,9,5,8,10,M124,0
72,10,5,8,10,M124,0
73,11,5,8,10,M124,0
74,12,5,8,10,M124,0
75,13,5,8,10,M124,0
76,14,5,8,10,M124,0
77,15,5,8,10,M124,0
78,16,5,8,10,M124,0
79,1,2,6,7,M221,0
80,2,2,6,7,M221,0
81,3,2,6,7,M221,0
82,4,2,6,7,M221,0
83,5,2,6,7,M221,0
84,6,2,6,7,M221,0
85,7,2,6,7,M221,0
86,8,2,6,7,M221,0
87,9,2,6,7,M221,0
88,10,2,6,7,M221,0
89,11,2,6,7,M221,0
90,12,2,6,7,M221,0
91,13,2,6,7,M221,0
92,14,2,6,7,M221,0
93,15,2,6,7,M221,0
94,16,2,6,7,M221,0
95,1,5,6,7,M221,0
96,2,5,6,7,M221,0
97,3,5,6,7,M221,0
98,4,5,6,7,M221,0
99,5,5,6,7,M221,0
100,6,5,6,7,M221,0
101,7,5,6,7,M221,0
102,8,5,6,7,M221,0
103,9,5,6,7,M221,0
104,10,5,6,7,M221,0
105,11,5,6,7,M221,0
106,12,5,6,7,M221,0
107,13,5,6,7,M221,0
108,14,5,6,7,M221,0
109,15,5,6,7,M221,0
110,16,5,6,7,M221,0
111,1,2,6,7,I702,0
112,2,2,6,7,I702,0
113,3,2,6,7,I702,0
114,4,2,6,7,I702,0
115,5,2,6,7,I702,0
116,6,2,6,7,I702,0
117,7,2,6,7,I702,0
118,8,2,6,7,I702,0
119,9,2,6,7,I702,0
120,10,2,6,7,I702,0
121,11,2,6,7,I702,0
122,12,2,6,7,I702,0
123,13,2,6,7,I702,0
124,14,2,6,7,I702,0
125,15,2,6,7,I702,0
126,16,2,6,7,I702,0
127,1,4,6,7,I702,0
128,2,4,6,7,I702,0
129,3,4,6,7,I702,0
130,4,4,6,7,I702,0
131,5,4,6,7,I702,0
132,6,4,6,7,I702,0
133,7,4,6,7,I702,0
134,8,4,6,7,I702,0
135,9,4,6,7,I702,0
136,10,4,6,7,I702,0
137,11,4,6,7,I702,0
138,12,4,6,7,I702,0
139,13,4,6,7,I702,0
140,14,4,6,7,I702,0
141,15,4,6,7,I702,0
142,16,4,6,7,I702,0
143,1,2,6,7,I305,0
144,2,2,6,7,I305,0
145,3,2,6,7,I305,0
146,4,2,6,7,I305,0
147,5,2,6,7,I305,0
148,6,2,6,7,I305,0
149,7,2,6,7,I305,0
150,8,2,6,7,I305,0
151,9,2,6,7,I305,0
152,10,2,6,7,I305,0
153,11,2,6,7,I305,0
154,12,2,6,7,I305,0
155,13,2,6,7,I305,0
156,14,2,6,7,I305,0
157,15,2,6,7,I305,0
158,16,2,6,7,I305,0
159,1,4,6,7,I305,0
160,2,4,6,7,I305,0
161,3,4,6,7,I305,0
162,4,4,6,7,I305,0
163,5,4,6,7,I305,0
164,6,4,6,7,I305,0
165,7,4,6,7,I305,0
166,8,4,6,7,I305,0
167,9,4,6,7,I305,0
168,10,4,6,7,I305,0
169,11,4,6,7,I305,0
170,12,4,6,7,I305,0
171,13,4,6,7,I305,0
172,14,4,6,7,I305,0
173,15,4,6,7,I305,0
174,16,4,6,7,I305,0
175,1,3,1,2,I403,0
176,2,3,1,2,I403,0
177,3,3,1,2,I403,0
178,4,3,1,2,I403,0
179,5,3,1,2,I403,0
180,6,3,1,2,I403,0
181,7,3,1,2,I403,0
182,8,3,1,2,I403,0
183,9,3,1,2,I403,0
184,10,3,1,2,I403,0
185,11,3,1,2,I403,0
186,12,3,1,2,I403,0
187,13,3,1,2,I403,0
188,14,3,1,2,I403,0
189,15,3,1,2,I403,0
190,16,3,1,2,I403,0
191,1,5,6,7,I403,0
192,2,5,6,7,I403,0
193,3,5,6,7,I403,0
194,4,5,6,7,I403,0
195,5,5,6,7,I403,0
196,6,5,6,7,I403,0
197,7,5,6,7,I403,0
198,8,5,6,7,I403,0
199,9,5,6,7,I403,0
200,10,5,6,7,I403,0
201,11,5,6,7,I403,0
202,12,5,6,7,I403,0
203,13,5,6,7,I403,0
204,14,5,6,7,I403,0
205,15,5,6,7,I403,0
206,16,5,6,7,I403,0
207,1,3,8,9,G227,0
208,2,3,8,9,G227,0
209,3,3,8,9,G227,0
210,4,3,8,9,G227,0
211,5,3,8,9,G227,0
212,6,3,8,9,G227,0
213,7,3,8,9,G227,0
214,8,3,8,9,G227,0
215,9,3,8,9,G227,0
216,10,3,8,9,G227,0
217,11,3,8,9,G227,0
218,12,3,8,9,G227,0
219,13,3,8,9,G227,0
220,14,3,8,9,G227,0
221,15,3,8,9,G227,0
222,16,3,8,9,G227,0
223,1,5,8,9,G227,0
224,2,5,8,9,G227,0
225,3,5,8,9,G227,0
226,4,5,8,9,G227,0
227,5,5,8,9,G227,0
228,6,5,8,9,G227,0
229,7,5,8,9,G227,0
230,8,5,8,9,G227,0
231,9,5,8,9,G227,0
232,10,5,8,9,G227,0
233,11,5,8,9,G227,0
234,12,5,8,9,G227,0
235,13,5,8,9,G227,0
236,14,5,8,9,G227,0
237,15,5,8,9,G227,0
238,16,5,8,9,G227,0
